index,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
135,NCC,EQ,2017-11-22,107.8,114.0,114.0,108.35,108.9,108.75,110.5,14043183,1551828618.15,53736,3310143,23.57,11,2017,1576347291.75,0.8812615955473113,Slight positive
136,NCC,EQ,2017-11-23,108.75,108.75,110.25,107.55,108.9,108.9,108.88,4173759,454445302.35,14850,1274144,30.53,11,2017,456191858.7,0.13793103448276334,Slight or No change
137,NCC,EQ,2017-11-24,108.9,108.0,112.8,108.0,110.7,110.85,110.92,11417795,1266487777.2,35724,3576130,31.32,11,2017,1262237237.25,1.7906336088154173,Positive
138,NCC,EQ,2017-11-27,110.85,110.0,112.0,109.2,111.1,111.15,110.88,5185033,574901166.55,17333,1947334,37.56,11,2017,575797914.65,0.27063599458729826,Slight or No change
139,NCC,EQ,2017-11-28,111.15,111.2,120.15,111.1,119.3,119.6,117.11,28070636,3287273996.2,93385,7728318,27.53,11,2017,3283796568.066667,7.602339181286544,Bull run
140,NCC,EQ,2017-11-29,119.6,120.3,122.9,119.6,120.15,120.5,121.09,16520742,2000460681.35,58011,3378168,20.45,11,2017,2002864621.8,0.7525083612040184,Slight positive
141,NCC,EQ,2017-11-30,120.5,119.5,124.0,117.25,123.35,123.05,121.18,12186337,1476792588.65,38685,2714830,22.28,11,2017,1488967275.7833333,2.1161825726141004,Positive
142,NCC,EQ,2017-12-01,123.05,123.95,126.0,120.1,121.45,120.9,123.17,7988798,983995050.75,27732,1419277,17.77,12,2017,987548579.4333334,-1.7472572125152297,Negative
143,NCC,EQ,2017-12-04,120.9,122.0,122.8,118.3,120.2,119.5,120.15,4885027,586916078.15,19097,1013994,20.76,12,2017,593205112.0333333,-1.1579818031430933,Negative
144,NCC,EQ,2017-12-05,119.5,119.0,119.3,116.65,118.55,118.35,117.93,5879085,693346612.95,22068,1727194,29.38,12,2017,698925221.75,-0.9623430962343194,Slight negative
